


2024-05-03 | 10:09:47 | MobileDeposit|500.0

2024-05-03 | 10:09:47 | MobileDeposit|400.0

2024-05-03 | 10:09:47 | MobileDeposit|600.0

2024-05-03 | 10:09:47 | MobileDeposit|800.0

2024-05-03 | 10:09:47 | MobileDeposit|500.0

2024-05-03 | 10:09:47 | MobileDeposit|60000.0

2024-05-03 | 10:09:47 | MobileDeposit|30000.0

2024-05-03 | 10:12:58.202186 | nullWithdrawal|0.0

2024-05-03 | 10:15:09.146720 | nullWithdrawal|0.0

2024-05-03|10:15:02|Amazon  Ski goggles |-30.0
2024-05-03 | 10:18:06.946810 | nullWithdrawal|0.0

2024-05-03|10:18:01|Mobile null|-0.0
2024-05-03 | 10:19:21.764682 | nullWithdrawal|0.0

2024-05-03 | 10:19:17 | nullWithdrawal|0.0
2024-05-03 | 10:20:00.549771 | WithdrawalWithdrawal|0.0

2024-05-03 | 10:19:52 | WithdrawalWithdrawal|0.0
2024-05-03 | 10:20:31.415541 | MobileWithdrawal|0.0

2024-05-03 | 10:20:20 | MobileWithdrawal|0.0
2024-05-03 | 10:38:36 | MobileDeposit|500.0

2024-05-03 | 10:39:00.109403 | MobileWithdrawal|0.0

2024-05-03 | 10:38:36 | MobileWithdrawal|0.0
2024-05-03|10:38:36|Amazon  Ski shoes |-20.0
2024-05-03|10:40|Whole foods  shrimp |-20.0
2024-05-03 | 11:23:12 | MobileDeposit|500.0

2024-05-03 | 11:23:32.693199 | MobileWithdrawal|0.0

2024-05-03 | 11:23:12 | MobileWithdrawal|0.0
2024-05-03|11:23:12|Amazon Cake |-30.0
2024-05-03 | 11:36:08 | MobileDeposit|500.0

2024-05-03 | 11:37:35.628941 | MobileWithdrawal|0.0

2024-05-03|11:36:08|Mobile Mobile|-200.0
2024-05-03|11:36:08|Walmart  Shoe Lace |-30.0
2024-05-03 | 11:40:14 | MobileDeposit|300.0

2024-05-03 | 11:40:14 | MobileDeposit|400000.0

2024-05-03 | 11:52:59.050884 | MobileWithdrawal|0.0

2024-05-03|11:40:14|Mobile Mobile|-3.0E7
2024-05-03|11:40:14|Amazon  Ski mask |-30.0
